Batch,Measure Names,Provinsi,Achievement % Vaksin1,Divaksin 1,Target
SDM KESEHATAN,Vaksinasi Dosis 1,Kepulauan Riau,113.21%,"15,987","14,121"
SDM KESEHATAN,Vaksinasi Dosis 1,Lampung,101.35%,"36,082","35,601"
SDM KESEHATAN,Vaksinasi Dosis 1,Maluku,82.86%,"11,811","14,255"
SDM KESEHATAN,Vaksinasi Dosis 1,Maluku Utara,92.85%,"8,497","9,151"
SDM KESEHATAN,Vaksinasi Dosis 1,Nusa Tenggara Barat,101.76%,"28,125","27,638"
SDM KESEHATAN,Vaksinasi Dosis 1,Nusa Tenggara Timur,112.35%,"36,200","32,221"
SDM KESEHATAN,Vaksinasi Dosis 1,Papua,79.36%,"15,499","19,529"
SDM KESEHATAN,Vaksinasi Dosis 1,Papua Barat,96.45%,"8,260","8,564"
SDM KESEHATAN,Vaksinasi Dosis 1,Riau,108.16%,"35,608","32,923"
SDM KESEHATAN,Vaksinasi Dosis 1,Sulawesi Barat,95.40%,"9,011","9,445"
SDM KESEHATAN,Vaksinasi Dosis 1,Sulawesi Selatan,98.96%,"58,243","58,858"
SDM KESEHATAN,Vaksinasi Dosis 1,Sulawesi Tengah,91.04%,"22,391","24,596"
SDM KESEHATAN,Vaksinasi Dosis 1,Sulawesi Tenggara,101.16%,"20,674","20,436"
SDM KESEHATAN,Vaksinasi Dosis 1,Sulawesi Utara,108.66%,"23,668","21,782"
SDM KESEHATAN,Vaksinasi Dosis 1,Sumatera Barat,103.61%,"33,561","32,391"
SDM KESEHATAN,Vaksinasi Dosis 1,Sumatera Selatan,97.41%,"47,738","49,007"
SDM KESEHATAN,Vaksinasi Dosis 1,Sumatera Utara,106.94%,"75,986","71,058"
SDM KESEHATAN,Vaksinasi Dosis 1,Yogyakarta,113.54%,"38,376","33,799"
USIA 12 - 17 TAHUN,Vaksinasi Dosis 1,Aceh,0.07%,397,"577,015"
USIA 12 - 17 TAHUN,Vaksinasi Dosis 1,Bali,13.70%,"54,423","397,239"
USIA 12 - 17 TAHUN,Vaksinasi Dosis 1,Bangka Belitung,0.44%,665,"151,433"
USIA 12 - 17 TAHUN,Vaksinasi Dosis 1,Banten,0.51%,"6,157","1,207,002"
USIA 12 - 17 TAHUN,Vaksinasi Dosis 1,Bengkulu,0.08%,165,"206,643"
USIA 12 - 17 TAHUN,Vaksinasi Dosis 1,Gorontalo,0.10%,124,"127,071"
USIA 12 - 17 TAHUN,Vaksinasi Dosis 1,Jakarta Raya,29.81%,"298,174","1,000,121"
USIA 12 - 17 TAHUN,Vaksinasi Dosis 1,Jambi,0.74%,"2,680","364,233"
USIA 12 - 17 TAHUN,Vaksinasi Dosis 1,Jawa Barat,0.20%,"9,791","4,867,047"
USIA 12 - 17 TAHUN,Vaksinasi Dosis 1,Jawa Tengah,0.26%,"8,856","3,371,070"
USIA 12 - 17 TAHUN,Vaksinasi Dosis 1,Jawa Timur,0.73%,"26,190","3,586,141"
USIA 12 - 17 TAHUN,Vaksinasi Dosis 1,Kalimantan Barat,0.16%,890,"569,699"
USIA 12 - 17 TAHUN,Vaksinasi Dosis 1,Kalimantan Selatan,0.15%,591,"402,121"
USIA 12 - 17 TAHUN,Vaksinasi Dosis 1,Kalimantan Tengah,0.08%,231,"283,576"
USIA 12 - 17 TAHUN,Vaksinasi Dosis 1,Kalimantan Timur,0.26%,"1,024","397,462"
USIA 12 - 17 TAHUN,Vaksinasi Dosis 1,Kalimantan Utara,0.11%,83,"77,891"
USIA 12 - 17 TAHUN,Vaksinasi Dosis 1,Kepulauan Riau,5.28%,"10,961","207,663"
USIA 12 - 17 TAHUN,Vaksinasi Dosis 1,Lampung,0.01%,84,"880,203"
USIA 12 - 17 TAHUN,Vaksinasi Dosis 1,Maluku,0.02%,49,"215,890"
USIA 12 - 17 TAHUN,Vaksinasi Dosis 1,Maluku Utara,0.03%,41,"145,842"
USIA 12 - 17 TAHUN,Vaksinasi Dosis 1,Nusa Tenggara Barat,0.10%,528,"533,491"
USIA 12 - 17 TAHUN,Vaksinasi Dosis 1,Nusa Tenggara Timur,0.05%,284,"582,844"
USIA 12 - 17 TAHUN,Vaksinasi Dosis 1,Papua,0.16%,663,"407,850"
USIA 12 - 17 TAHUN,Vaksinasi Dosis 1,Papua Barat,0.18%,230,"127,914"
USIA 12 - 17 TAHUN,Vaksinasi Dosis 1,Riau,0.20%,"1,335","684,190"
